snapshot_index,novelty_fraction,num_entities,num_novel
0,0.058823529411764705,306,18
1,0.03873239436619718,284,11
2,0.053156146179401995,301,16
3,0.043824701195219126,251,11
4,0.03347280334728033,239,8
5,0.018518518518518517,162,3
6,0.022727272727272728,176,4
7,0.04861111111111111,288,14
8,0.029304029304029304,273,8
9,0.041811846689895474,287,12
10,0.030100334448160536,299,9
11,0.06611570247933884,242,16
12,0.017699115044247787,113,2
13,0.05517241379310345,145,8
14,0.04713804713804714,297,14
15,0.04642857142857143,280,13
16,0.03065134099616858,261,8
17,0.06772908366533864,251,17
18,0.026785714285714284,224,6
19,0.03305785123966942,121,4
20,0.029850746268656716,134,4
21,0.03614457831325301,249,9
22,0.05220883534136546,249,13
23,0.011049723756906077,181,2
24,0.05555555555555555,126,7
25,0.011976047904191617,167,2
26,0.01639344262295082,122,2
27,0.015873015873015872,126,2
28,0.032,250,8
29,0.019230769230769232,208,4
30,0.015151515151515152,198,3
