snapshot_index,novelty_fraction,num_entities,num_novel
0,0.0,421,0
1,0.0056022408963585435,357,2
2,0.0,327,0
3,0.0,389,0
4,0.0029498525073746312,339,1
5,0.0,380,0
6,0.0035460992907801418,282,1
7,0.0,301,0
8,0.0,268,0
9,0.003246753246753247,308,1
10,0.0,346,0
11,0.002890173410404624,346,1
12,0.00964630225080386,311,3
13,0.0038314176245210726,261,1
14,0.0,279,0
15,0.0038314176245210726,261,1
16,0.0035714285714285713,280,1
17,0.003816793893129771,262,1
18,0.003472222222222222,288,1
19,0.0,277,0
20,0.004310344827586207,232,1
21,0.0,283,0
22,0.0,254,0
23,0.003194888178913738,313,1
24,0.0,295,0
25,0.003816793893129771,262,1
26,0.002577319587628866,388,1
27,0.0033333333333333335,300,1
28,0.0,249,0
29,0.0035842293906810036,279,1
30,0.0,294,0
31,0.010309278350515464,291,3
32,0.0,320,0
33,0.003663003663003663,273,1
34,0.0,265,0
35,0.0,266,0
36,0.0,292,0
37,0.006644518272425249,301,2
38,0.0,281,0
39,0.003367003367003367,297,1
40,0.0,267,0
41,0.006600660066006601,303,2
42,0.0,282,0
43,0.0,255,0
44,0.003105590062111801,322,1
45,0.0036900369003690036,271,1
46,0.0,300,0
47,0.006968641114982578,287,2
48,0.006644518272425249,301,2
49,0.0,258,0
50,0.0037593984962406013,266,1
51,0.007722007722007722,259,2
52,0.0078125,256,2
53,0.0031645569620253164,316,1
54,0.003215434083601286,311,1
55,0.0,303,0
56,0.003389830508474576,295,1
57,0.0,295,0
58,0.0,337,0
59,0.0033222591362126247,301,1
60,0.0,302,0
61,0.0030581039755351682,327,1
62,0.0,289,0
63,0.0,303,0
64,0.0,298,0
65,0.006734006734006734,297,2
66,0.0029850746268656717,335,1
67,0.003205128205128205,312,1
68,0.0031446540880503146,318,1
69,0.0,344,0
70,0.0027100271002710027,369,1
71,0.0,288,0
72,0.0033222591362126247,301,1
73,0.0,319,0
74,0.0,278,0
75,0.0,338,0
76,0.0,283,0
77,0.006993006993006993,286,2
78,0.0,367,0
79,0.0,350,0
80,0.006472491909385114,309,2
81,0.0,316,0
82,0.0,272,0
83,0.003215434083601286,311,1
84,0.0,300,0
85,0.005714285714285714,350,2
86,0.003246753246753247,308,1
87,0.0,333,0
88,0.003367003367003367,297,1
89,0.0,329,0
90,0.0033783783783783786,296,1
91,0.0,368,0
92,0.0,264,0
93,0.0,465,0
94,0.004608294930875576,434,2
95,0.0,420,0
96,0.0,398,0
97,0.0030211480362537764,331,1
98,0.006211180124223602,322,2
99,0.0024154589371980675,414,1
100,0.002347417840375587,426,1
