snapshot_index,novelty_fraction,num_entities,num_novel
0,0.05714285714285714,70,4
1,0.08333333333333333,60,5
2,0.07042253521126761,142,10
3,0.04854368932038835,103,5
4,0.06521739130434782,92,6
5,0.02,50,1
6,0.03225806451612903,93,3
7,0.017241379310344827,58,1
8,0.057971014492753624,69,4
9,0.05303030303030303,132,7
10,0.04424778761061947,113,5
11,0.03007518796992481,133,4
12,0.06923076923076923,130,9
13,0.024,125,3
14,0.04285714285714286,70,3
15,0.0375,80,3
16,0.049079754601226995,163,8
17,0.026143790849673203,153,4
18,0.05263157894736842,152,8
19,0.05555555555555555,144,8
20,0.03333333333333333,120,4
21,0.015384615384615385,65,1
22,0.03076923076923077,65,2
23,0.058823529411764705,153,9
24,0.04285714285714286,140,6
25,0.05673758865248227,141,8
26,0.02054794520547945,146,3
27,0.05555555555555555,126,7
28,0.013333333333333334,75,1
29,0.04225352112676056,71,3
30,0.04790419161676647,167,8
31,0.06993006993006994,143,10
32,0.05263157894736842,133,7
33,0.04938271604938271,162,8
34,0.04487179487179487,156,7
35,0.047058823529411764,85,4
36,0.011363636363636364,88,1
37,0.011904761904761904,168,2
38,0.025,160,4
39,0.027932960893854747,179,5
40,0.03571428571428571,140,5
41,0.05426356589147287,129,7
42,0.023529411764705882,85,2
43,0.025974025974025976,77,2
44,0.015151515151515152,132,2
45,0.04081632653061224,147,6
46,0.02112676056338028,142,3
47,0.03875968992248062,129,5
48,0.02027027027027027,148,3
49,0.023255813953488372,86,2
50,0.04,100,4
51,0.018867924528301886,159,3
52,0.03870967741935484,155,6
53,0.04861111111111111,144,7
54,0.03333333333333333,120,4
55,0.017241379310344827,116,2
56,0.011627906976744186,86,1
57,0.034482758620689655,87,3
58,0.023809523809523808,168,4
59,0.026845637583892617,149,4
60,0.0,131,0
61,0.02666666666666667,150,4
62,0.019736842105263157,152,3
63,0.058823529411764705,68,4
64,0.0,79,0
65,0.020134228187919462,149,3
66,0.015151515151515152,132,2
67,0.016,125,2
68,0.022388059701492536,134,3
69,0.034782608695652174,115,4
